system,database,table,row_estimate,data_bytes,index_bytes,total_bytes,extra
mariadb,asso,paiements,13503,40435712,262144,40697856,
mariadb,asso,paiements_helloasso,5932,11026432,491520,11517952,
mariadb,asso,asso_adherants,25410,5732000,1511424,7243424,
mariadb,asso,utilisateurs_temp,11504,1543908,292864,1836772,
mariadb,asso,adherents_commentaires,1381,114688,57344,172032,
mariadb,asso,asso_page_adhesion,6358,139580,1024,140604,
mariadb,asso,ag_live_questions,672,114688,16384,131072,
mariadb,asso,pouvoirs,1583,39575,54272,93847,
mariadb,asso,asso_page_adhesion_2010,3156,69948,1024,70972,
mariadb,asso,adhesion_reminder,432,65536,0,65536,
mariadb,asso,mf_points_2010,450,16496,10240,26736,
mariadb,asso,mf_points,450,16204,10240,26444,
mariadb,asso,votes_resultats,321,13380,12288,25668,
mariadb,asso,ag_live,0,16384,0,16384,
mariadb,asso,logos,135,4524,7168,11692,
mariadb,asso,asso_aide,6,2588,2048,4636,
mariadb,asso,assemblees_gene,35,1060,3072,4132,
mariadb,asso,votes_choix,26,1872,2048,3920,
mariadb,asso,asso_pages,18,1240,2048,3288,
mariadb,asso,votes_sondages,5,1144,2048,3192,
mariadb,asso,admin_adhesions,1,324,1024,1348,
mariadb,asso,vote_distance_demandes,0,0,1024,1024,
mariadb,asso,data,0,0,1024,1024,
mariadb,asso,vote_distance_participations,0,0,1024,1024,
mariadb,asso,vote_distance_questions,0,0,1024,1024,
mariadb,asso,vote_distance_reponses,0,0,1024,1024,
mariadb,base_climato,climato_complete_tn2,815954,16319080,14193664,30512744,
mariadb,base_climato,climato_complete_tn,815954,19528004,10516480,30044484,
mariadb,base_climato,climato_complete_tx2,793238,15864760,13798400,29663160,
mariadb,base_climato,climato_complete_tx,793238,18976312,10202112,29178424,
mariadb,base_climato,climato_complete_tn_sauv,815954,11423356,11668480,23091836,
mariadb,base_climato,climato_complete_tx_sauv,845588,11838232,1024,11839256,
mariadb,base_climato,communes,35223,1337144,362496,1699640,
mariadb,base_climato,releves,6265,461364,60416,521780,
mariadb,base_climato,ut_a_supprimer,3539,309196,90112,399308,
mariadb,base_climato,climato_complete_cartes,7932,311324,83968,395292,
mariadb,base_climato,climato_mf,125,188252,4096,192348,
mariadb,base_climato,postes,278,99672,10240,109912,
mariadb,base_climato,val_remarquables,107,65844,4096,69940,
mariadb,base_climato,climato_mf_stations,425,25944,16384,42328,
mariadb,base_climato,stations,106,5556,4096,9652,
mariadb,base_climato,climato_noaa,55,2828,2048,4876,
mariadb,base_climato,releves_quot,4,300,2048,2348,
mariadb,base_climato,releves_quot_participations,1,28,2048,2076,
mariadb,base_pluvio,communes,35223,1337144,362496,1699640,
mariadb,base_pluvio,releves,16952,786016,334848,1120864,
mariadb,base_pluvio,cumul,4624,233060,49152,282212,
mariadb,base_pluvio,postes,540,30400,11264,41664,
mariadb,bugtracker,mantis2_bug_file_table,20,5783552,32768,5816320,
mariadb,bugtracker,mantis2_bugnote_text_table,397,196608,0,196608,
mariadb,bugtracker,mantis2_bug_history_table,1088,81920,49152,131072,
mariadb,bugtracker,mantis2_bug_table,275,65536,65536,131072,
mariadb,bugtracker,mantis2_bug_revision_table,97,81920,32768,114688,
mariadb,bugtracker,mantis2_bug_text_table,234,98304,0,98304,
mariadb,bugtracker,mantis2_user_table,17,16384,81920,98304,
