system,database,table,row_estimate,data_bytes,index_bytes,total_bytes,extra
timescaledb,postgres,CommandeStation,0,8192,8192,16384,
timescaledb,postgres,Decadaire,13770095,5192761344,1385037824,6577799168,
timescaledb,postgres,DecadaireAgro,2914602,504324096,279347200,783671296,
timescaledb,postgres,Horaire,589952832,166384312320,47671066624,214055378944,hypertable
timescaledb,postgres,HoraireTempsReel,18165216,3156180992,1457889280,4614070272,hypertable
timescaledb,postgres,InformationStation,14723,1818624,581632,2400256,
timescaledb,postgres,Infrahoraire,2827541504,302469505024,210130083840,512599588864,hypertable
timescaledb,postgres,InfrahoraireTempsReel,170777184,24022269952,15113175040,39135444992,hypertable
timescaledb,postgres,Mensuelle,5086026,1766883328,405274624,2172157952,
timescaledb,postgres,Parametre,1878840,195051520,50454528,245506048,
timescaledb,postgres,Position,21319,2367488,729088,3096576,
timescaledb,postgres,Producteur,17231,1851392,598016,2449408,
timescaledb,postgres,Quotidienne,134346192,21066440704,11040636928,32107077632,
timescaledb,postgres,QuotidienneAutresParametres,53944516,8456544256,4411695104,12868239360,
timescaledb,postgres,SaveProgress,4375,319488,319488,638976,
timescaledb,postgres,Station,21564,4505600,3145728,7651328,
timescaledb,postgres,StationTempsReel,2166,21602304,401408,22003712,
timescaledb,postgres,TypePoste,17439,1425408,606208,2031616,
timescaledb,postgres,_prisma_migrations,1,49152,16384,65536,
timescaledb,postgres,mv_records_battus_meta,0,8192,0,8192,
timescaledb,postgres,ommid,15751,991232,516096,1507328,
timescaledb,postgres,ref_department_region,95,49152,16384,65536,
timescaledb,postgres,station_classe,5962,704512,573440,1277952,
timescaledb,postgres,station_creation_date,15072,925696,925696,1851392,
timescaledb,postgres,station_creation_date_bak,15062,835584,0,835584,
timescaledb,postgres,mv_baseline_station_daily_mean_1991_2020,259061,18857984,11624448,30482432,matview
timescaledb,postgres,mv_first_temperature_date,5560,327680,196608,524288,matview
timescaledb,postgres,mv_itn_daily_1991_2020_real,10958,696320,466944,1163264,matview
timescaledb,postgres,mv_itn_daily_all_years,29007,1843200,1163264,3006464,matview
timescaledb,postgres,mv_mensuelle_realtime,6507,892928,540672,1433600,matview
timescaledb,postgres,mv_quotidienne_realtime,8043,835584,671744,1507328,matview
timescaledb,postgres,mv_quotidienne_tn,51707716,3530719232,2571345920,6102065152,matview
timescaledb,postgres,mv_quotidienne_tx,51555320,3520512000,2563915776,6084427776,matview
timescaledb,postgres,mv_record_event_max_history,5131176,393003008,0,393003008,matview
timescaledb,postgres,mv_record_event_min_history,4375677,335134720,209698816,544833536,matview
timescaledb,postgres,mv_records_absolus_par_mois,2640,253952,106496,360448,matview
timescaledb,postgres,mv_records_battus,5261,622592,573440,1196032,matview
